time:567143, score:-951.000000, speed:-1.290835
time:568152, score:-952.000000, speed:-1.191067
time:569154, score:-954.000000, speed:-1.093005
time:570156, score:-957.000000, speed:-1.591565
time:571158, score:-959.000000, speed:-1.492983
time:572160, score:-962.000000, speed:-1.592832
time:573171, score:-960.000000, speed:-1.294305
time:574173, score:-958.000000, speed:-1.095399
time:575183, score:-959.000000, speed:-1.293404
time:576186, score:-960.000000, speed:-1.094418
time:577189, score:-960.000000, speed:-0.895879
time:578192, score:-962.000000, speed:-0.996115
time:579193, score:-963.000000, speed:-0.896504
time:580203, score:-964.000000, speed:-0.696725
time:581212, score:-967.000000, speed:-0.795703
time:582224, score:-969.000000, speed:-0.695548
time:583233, score:-972.000000, speed:-1.192606
time:584241, score:-972.000000, speed:-1.390544
time:585242, score:-972.000000, speed:-1.292375
time:586254, score:-973.000000, speed:-1.291220
time:587257, score:-976.000000, speed:-1.589193
time:588270, score:-976.000000, speed:-1.389027
time:589273, score:-977.000000, speed:-1.388889
time:590280, score:-979.000000, speed:-1.488538
time:591287, score:-981.000000, speed:-1.389578
time:592290, score:-982.000000, speed:-1.291476
time:593291, score:-985.000000, speed:-1.292503
time:594294, score:-985.000000, speed:-1.293146
time:595301, score:-987.000000, speed:-1.491350
time:596304, score:-984.000000, speed:-1.094527
time:597314, score:-986.000000, speed:-0.994332
time:598324, score:-987.000000, speed:-1.094092
time:599328, score:-987.000000, speed:-0.994530
time:600333, score:-988.000000, speed:-0.895344
time:601343, score:-989.000000, speed:-0.795545
time:602349, score:-989.000000, speed:-0.695894
time:603362, score:-992.000000, speed:-0.695065
time:604364, score:-994.000000, speed:-0.893833
time:605377, score:-996.000000, speed:-0.893212
time:606386, score:-997.000000, speed:-1.289427
time:607399, score:-1000.000000, speed:-1.388200
time:608404, score:-1002.000000, speed:-1.488095
time:609407, score:-1003.000000, speed:-1.587617
time:610419, score:-1006.000000, speed:-1.784475
time:611430, score:-1006.000000, speed:-1.685338
time:612431, score:-1009.000000, speed:-1.983733
time:613443, score:-1011.000000, speed:-1.884734
time:614450, score:-1011.000000, speed:-1.685338
time:615455, score:-1012.000000, speed:-1.587459
time:616456, score:-1015.000000, speed:-1.787488
time:617470, score:-1017.000000, speed:-1.688015
time:618474, score:-1020.000000, speed:-1.787488
time:619487, score:-1022.000000, speed:-1.884734
time:620489, score:-1025.000000, speed:-1.886980
time:621491, score:-1025.000000, speed:-1.888480
time:622492, score:-1028.000000, speed:-1.888480
time:623505, score:-1028.000000, speed:-1.689525
time:624518, score:-1029.000000, speed:-1.788020
time:625519, score:-1032.000000, speed:-1.987479
time:626526, score:-1034.000000, speed:-1.886792
time:627528, score:-1034.000000, speed:-1.690197
time:628531, score:-1035.000000, speed:-1.491498
time:629539, score:-1037.000000, speed:-1.492240
time:630545, score:-1037.000000, speed:-1.193199
time:631558, score:-1036.000000, speed:-1.092679
time:632563, score:-1037.000000, speed:-0.893655
time:633566, score:-1037.000000, speed:-0.894543
time:634577, score:-1040.000000, speed:-1.093439
time:635591, score:-1042.000000, speed:-0.992753
time:636604, score:-1045.000000, speed:-1.091486
time:637606, score:-1045.000000, speed:-1.091486
time:638614, score:-1045.000000, speed:-0.991867
time:639625, score:-1047.000000, speed:-0.991572
time:640636, score:-1049.000000, speed:-1.189178
time:641637, score:-1052.000000, speed:-1.587459
time:642638, score:-1054.000000, speed:-1.687345
time:643647, score:-1057.000000, speed:-1.983930
time:644658, score:-1057.000000, speed:-1.686341
time:645660, score:-1060.000000, speed:-1.787665
time:646663, score:-1062.000000, speed:-1.690029
time:647674, score:-1063.000000, speed:-1.787843
time:648675, score:-1065.000000, speed:-1.987676
time:649684, score:-1066.000000, speed:-1.888668
time:650686, score:-1068.000000, speed:-1.890547
time:651690, score:-1071.000000, speed:-1.889983
time:652692, score:-1070.000000, speed:-1.591565
time:653695, score:-1072.000000, speed:-1.492834
time:654700, score:-1072.000000, speed:-1.493726
time:655712, score:-1073.000000, speed:-1.293404
time:656714, score:-1076.000000, speed:-1.393035
time:657724, score:-1076.000000, speed:-1.293532
time:658725, score:-1079.000000, speed:-1.393035
time:659736, score:-1081.000000, speed:-1.492389
time:660829, score:-1079.000000, speed:-1.084492
time:661831, score:-1082.000000, speed:-1.084706
time:662844, score:-1084.000000, speed:-1.378903
time:663850, score:-1087.000000, speed:-1.477250
time:664851, score:-1089.000000, speed:-1.674712
time:665864, score:-1090.000000, speed:-1.674382
time:666878, score:-1092.000000, speed:-1.574183
time:667879, score:-1093.000000, speed:-1.674052
time:668881, score:-1096.000000, speed:-1.673887
time:669882, score:-1096.000000, speed:-1.478269
